country_name,year,gdp,social_support,life_expectancy,freedom,trust,generosity,energy_consumption,total_deaths,happiness_score
Belgium,2018,1.324,1.483,0.894,0.583,0.24,0.188,53,105668,6.927
United States,2018,1.398,1.471,0.819,0.547,0.133,0.291,2236,2738800,6.886
France,2018,1.293,1.466,0.908,0.52,0.176,0.098,246,550983,6.489
Mexico,2018,1.038,1.252,0.761,0.479,0.095,0.069,181,686838,6.488
Chile,2018,1.131,1.331,0.808,0.431,0.061,0.197,39,106914,6.476
Taiwan,2018,1.365,1.436,0.857,0.418,0.078,0.151,110,176675,6.441
Brazil,2018,0.986,1.474,0.675,0.493,0.088,0.11,288,1252966,6.419
Argentina,2018,1.073,1.468,0.744,0.57,0.054,0.062,80,327024,6.388
Saudi Arabia,2018,1.379,1.331,0.633,0.509,0.127,0.098,214,111390,6.371
Malaysia,2018,1.161,1.258,0.669,0.356,0.059,0.311,94,155270,6.322
Spain,2018,1.251,1.538,0.965,0.449,0.074,0.142,124,404465,6.31
Colombia,2018,0.96,1.439,0.635,0.531,0.039,0.099,39,219853,6.26
Poland,2018,1.176,1.448,0.781,0.546,0.064,0.108,106,393959,6.123
Uzbekistan,2018,0.719,1.584,0.605,0.724,0.259,0.328,46,190669,6.096
Kuwait,2018,1.474,1.301,0.675,0.554,0.106,0.167,34,8569,6.083
Thailand,2018,1.016,1.417,0.707,0.637,0.029,0.364,136,465566,6.072
Italy,2018,1.264,1.501,0.946,0.281,0.028,0.137,151,612014,6
Romania,2018,1.116,1.219,0.726,0.528,0.001,0.088,34,263496,5.945
Japan,2018,1.294,1.462,0.988,0.553,0.15,0.079,428,1334115,5.915
South Korea,2018,1.266,1.204,0.955,0.244,0.051,0.175,296,297915,5.875
Russia,2018,1.151,1.479,0.599,0.399,0.025,0.065,760,1735894,5.81
Kazakhstan,2018,1.143,1.516,0.631,0.454,0.121,0.148,76,136054,5.79
Turkey,2018,1.148,1.38,0.686,0.324,0.109,0.106,144,419183,5.483
Portugal,2018,1.188,1.429,0.884,0.562,0.017,0.055,22,109945,5.41
